lambda_lo,lambda_hi
5026.859983324568,5026.9421368896765
5027.133577125734,5027.761418419027
5029.534634422349,5031.093215124489
5032.550655294982,5032.684406364448
5034.065627377878,5034.178812260901
5034.342037552722,5034.690058224942
5035.076125505627,5037.898439302391
5038.258578972431,5045.86864434504
5046.285528826433,5046.403423222429
5046.562090637723,5046.9142560776845
5048.400299309677,5048.537399810477
5048.6769909423365,5049.231409016877
5049.407751438119,5050.115614151492
5053.283480040517,5054.02726844537
5054.756885342798,5055.459561617226
5057.269459444189,5058.085858686708
5058.5066426034655,5059.868573352377
5060.498514008727,5060.609018218647
5060.775729359216,5061.727301832805
5062.071431016323,5062.757067873707
5066.8641962039455,5068.823153725036
5069.234112407444,5069.364940778853
5069.5114406561615,5070.71620359202
5071.123388011182,5071.259818509983
5071.4007125358385,5071.775603815136
5072.198289359148,5072.87209521538
5073.190462131287,5074.551467705602
5074.738120149573,5074.849883374921
5075.359199072178,5075.758036740237
5076.815921247814,5076.948582462165
5077.094531636419,5078.09808041027
5078.389938582951,5079.098729863057
5079.4062107626405,5081.976359231027
5084.778999928703,5086.124951828663
5087.039816958352,5088.260955444949
5092.688464228265,5092.825370660265
5092.967621207164,5094.1709821580935
5094.81054245339,5096.042314687039
5096.847854888546,5097.526683415461
5100.813326558271,5100.954812922817
5101.092794916942,5101.469349501171
5102.752432293344,5104.096018111166
5111.100174434584,5111.234492901845
5111.377078173688,5111.72329005199
5112.07117649186,5112.198407898496
5112.350958760744,5112.718514786196
5399.580046368293,5399.699254119005
5399.8762198094455,5400.240481092921
5403.118510741906,5403.783435902005
5407.830385857599,5408.8137177742265
5409.057184635341,5409.952327183423
5410.500793309214,5411.489158134513
5412.765761720234,5414.847816563796
5415.367382546836,5416.127074833367
5417.173319938475,5417.879948964334
5418.9513184268,5419.079678405707
5419.237832397951,5420.032190582843
5420.369275861496,5421.143741847682
5421.35487917753,5422.371733328773
5422.522319985783,5422.918002514797
5423.943293835536,5424.723621153551
5425.907157682682,5426.004752300062
5426.31747118527,5426.577576460697
5429.647205165868,5430.387964314798
5432.612602436073,5432.756337156544
5432.909728729516,5433.308987511434
5434.96181802415,5435.092571297156
5435.260385370731,5437.525114407303
5437.685611992541,5438.849464546203
5439.915229744747,5440.634032827103
5442.389820408758,5442.533484993789
5442.688412793699,5443.074172481144
5443.320427313971,5444.042405453257
5444.512557756831,5444.631876527805
5444.811254972053,5445.184088962396
5449.101428434188,5449.850003360059
5450.091104468475,5450.192204235777
5450.388782443163,5451.151515806923
5456.131900026733,5456.852107467247
5457.391069793599,5458.153572263646
5458.51345307684,5459.221213426714
5459.565164055486,5460.272025684181
5460.429592849448,5461.178389954123
5463.031641688116,5465.02237130874
5466.155758415215,5466.878439171212
5467.810375363253,5468.541929943314
5471.264435935188,5472.03291018526
5477.816183284281,5477.9490626107445
5478.106271944406,5478.4854315101165
5478.73699475599,5478.881776556254
5479.03000508338,5479.882510105338
5480.156930479559,5480.502961832418
5483.035673412445,5483.155796149926
5483.335538679236,5483.725425047573
5488.0031389938395,5488.1382660673025
5488.303187404037,5488.689209505879
5675.055486181773,5676.119221909673
5677.842200500265,5678.604175597704
5680.675233655867,5681.723915462755
5682.816599902408,5684.575073413451
5684.8519953553305,5685.667659882223
5686.162902502177,5686.268090892245
5686.430854334959,5687.020221831517
5687.197563454366,5688.069350513663
5688.495627334482,5689.425118000101
5689.672893860499,5689.829309488987
5689.983985558959,5690.407933021682
5690.642421449871,5692.263938336798
5693.432227930553,5695.395291204029
5695.563849355323,5695.979161448477
5696.992816957755,5698.648584526793
5699.234087277137,5701.172161385445
5701.7508801679605,5702.577372009413
5703.885248349039,5704.03142339982
5704.198107990318,5705.068365290153
5705.284049716009,5706.054027126301
5707.973486633776,5708.7529133373455
5712.390723681766,5713.358173513634
5715.10059733264,5715.940457294701
5718.45554561724,5719.390102929593
5720.018694423389,5722.347496384292
5722.8822863102805,5724.023171546398
5724.940551413246,5725.778992038074
5727.792587643283,5728.762920673337
5729.569065187673,5731.666503653442
5734.129603343477,5734.941547673185
5735.106825906927,5735.528343989348
5736.647248942931,5737.411680292389
5738.698685722357,5739.714850375696
5743.207541493797,5744.4293528895
5744.800987184052,5745.542664854643
5745.961791120605,5747.6970665198405
5748.980485800233,5749.121287873976
5749.295964151977,5749.707070497572
5751.616290219031,5751.743289165609
5752.0487410615915,5752.31090291967
5752.897663395867,5753.653781079282
5754.014876066426,5754.808477906355
5755.270544328666,5756.411688575938
5756.583084881035,5757.576515814461
5759.998195841505,5761.045475481031
5762.678176190725,5763.464121773215
5763.733557554174,5763.877699379321
5764.049513007934,5765.291649910769
5767.36813777254,5767.521685262448
5767.6842361773715,5769.011195298016
5771.350878420383,5771.5017901811025
5771.667086373044,5772.084499119832
5773.665306942272,5774.990234942861
5777.1664161052695,5777.928600905749
5780.444501750828,5780.515330311632
5780.881888273775,5781.09769851283
5783.006783634883,5783.150300373333
5783.443794207357,5783.732645342884
5789.2395455920105,5789.991497450623
5790.316908828462,5790.445678957099
5790.63367039072,5791.048083914903
5791.425021053224,5791.658640522045
5791.905452063676,5791.98353367958
5792.222205648131,5792.565673243932
5801.777119145944,5801.823834801792
5802.0941695015545,5802.141293532237
5803.78973111067,5803.852249379913
5804.463752375336,5804.54243683967
5804.787541304072,5804.833821240532
5806.782602599583,5806.831914743335
5807.423123505088,5807.52579909421
5807.741729836491,5808.102643547164
5810.671099489218,5810.748400576051
5810.989866596378,5811.337385636543
5843.660105389647,5843.8219407445395
5843.979795737186,5844.4096841060755
5846.594115441036,5847.35130667542
5851.902570021055,5852.067580313127
5852.224018413883,5853.152900430012
5855.951123474489,5856.113576467928
5856.272269218277,5856.701169612359
5860.697337837697,5861.5358373057625
5862.722827091903,5863.505963324152
5865.469195191649,5865.600385267009
5865.791028913082,5866.187995074746
5866.5606835849785,5867.494914237483
5868.5947572409705,5869.508988780225
5869.779107740064,5870.619544936769
5870.909356841136,5873.181252572265
5874.418214127775,5875.212688525785
5875.376289794742,5875.893285096432
5876.080885041356,5879.430345401057
5880.291246814586,5886.153547621006
5886.633545885016,5896.9640157437
5898.219153476007,5899.309791391576
5899.735813405555,5904.092605805385
5904.410749979469,5905.621252573478
5905.98158185944,5912.712094488469
5912.9166297130905,5915.0120219078935
5915.259131446886,5921.44028361739
5921.613528254161,5922.427806494982
5922.59697906966,5925.027889905612
5925.243573852172,5926.877770220817
5927.68264713365,5928.554656443749
5929.312653376466,5931.297383739989
5931.681457712095,5936.048283614098
5936.3055491681225,5937.805175565472
5938.446734203738,5940.498493004079
5941.066886000131,5942.975690185723
5943.214945863633,5944.4609443801655
5945.339312520476,5947.507823801391
5947.772334922475,5951.060520258092
5951.314490173553,5953.480460166623
5953.949781857679,5955.649638763646
5955.8515889792125,5957.106451487499
5957.277836602663,5958.437807237629
5958.651647758692,5961.934036849104
5962.543632242658,5964.408924263864
5966.055383673145,5966.858601763684
5967.0716503793965,5971.952989883053
5972.145664327214,5973.341515275108
5973.890786091074,5974.656071398732
5975.39467312814,5977.217288210076
5977.382604323963,5980.026036382721
5981.264650266148,5984.123925535345
5984.311473493686,5985.561817623823
5985.7255813753145,5987.015019289542
5987.192015776768,5987.621017105051
5988.114204905251,5989.052340097961
5989.22537727578,5991.24170600248
5991.5017289030775,5992.815224677947
5993.068692036526,5993.9879123669625
5994.178227245418,5996.570604643098
5997.643355293831,5997.788595113089
5997.971928206935,6000.144787846167
6000.777794346107,6002.106759833639
6002.660343112778,6004.801755829725
6005.015877128709,6006.784734708446
6008.1457002958105,6008.306858811228
6008.47458009457,6008.912102126393
6009.218165820529,6009.378538122778
6009.547064163979,6010.277764897696
6010.467803960474,6011.297377707327
6013.9025884784305,6014.059577875835
6014.231643942869,6014.664687278032
6016.1953308065295,6016.319285809104
6016.524454881856,6017.907630901319
6020.252021172982,6021.039737128938
6025.034092599073,6025.889809423333
6027.554974478455,6027.6921892850705
6027.864826200277,6028.0024560648335
6262.2413565805555,6263.0760113356755
6263.446018814055,6264.257881095936
6265.478005261477,6265.606359654645
6265.790009963775,6265.918789712677
6268.7439739955325,6270.659647584104
6271.429799280799,6272.240777252473
6273.118927256177,6273.292605156532
6273.461688841598,6274.676886680769
6275.999214794108,6276.160397604146
6276.338360228639,6277.291553665111
6277.653764199135,6284.7715826504655
6284.973409207844,6285.883452989313
6286.066153310239,6286.522545551279
6286.878708519663,6287.919165711814
6288.426846660229,6289.990703411747
6290.30492941184,6292.772674494166
6293.333674577811,6295.00726983291
6295.812781405566,6298.022250388453
6298.3541119944675,6299.262444237663
6299.589150929527,6301.285228298045
6303.154152227884,6304.809095413663
6306.4062332250915,6308.6159464306165
6310.567994281351,6312.664370797844
6313.639214561363,6314.918023801711
6315.431803475246,6315.60287928303
6315.777600948681,6316.336285862571
6316.523133158862,6316.984440121226
6317.4515998005345,6319.466425804582
6320.05657575252,6320.224258600461
6320.402518394897,6322.029935827601
6322.5258132751715,6323.361966093542
6323.536080447131,6324.360046993961
6324.8965430843145,6325.837047741592
6326.03037706023,6326.473325406108
6327.786444990108,6328.6613571249845
6329.918834031773,6331.621432266406
6333.219434242891,6334.105777389394
6334.404213960536,6335.2473962464765
6335.592058244053,6335.696303567638
6335.938474591995,6336.406423053302
6336.659339605331,6337.042536307368
6337.300711217417,6338.133714552634
6342.464564448147,6343.2726028741845
6343.546128315407,6344.477724900148
6346.72783238877,6347.596028931415
6348.150501913543,6349.32553336111
6351.860252261009,6353.635790723133
6356.478563967152,6357.352138201025
6359.022080068111,6359.854159117356
6360.192739434179,6360.7818710152305
6360.956690418105,6361.4259446010465
6362.375205723741,6363.743885671223
6369.635998089506,6370.497619194305
6372.455204092737,6373.589821699638
